titulo,autores,generos,serie,sinopsis,url_libro,categoria_origen,fecha_extraccion
Juan Martín el Empecinado,Benito Pérez Galdós,"Clásico, Histórico",Episodios Nacionales - Primera serie,"El general Juan Martín Díez el Empecinado es retratado por Galdós como un héroe lleno de humanidad que protagoniza diálogos muy divertidos por su tosco vocabulario, pero es también un hombre valiente, fiero, noble y prudente, que despierta el respeto incluso de sus enemigos. Persona de firmes convicciones liberales, terminó por enfrentarse al propio Fernando VII, al no respetar éste la Constitución de 1812, y fue desterrado a Portugal. Al intentar de nuevo penetrar en España fue capturado, torturado y exhibido en una jaula antes de ser condenado a la horca. Su perseverancia al defender sus ideales ha hecho que “empecinado” signifique hoy en día obstinación y que él sea recordado como uno de los más grandes defensores de la libertad en España.",https://ww3.lectulandia.co/book/juan-martin-el-empecinado/,Clásico,2026-09-06 12:16:36
El contrato social,Jean-Jacques Rousseau,"Clásico, Filosofía, Política",N/A,"En toda la historia de las ideas políticas no existe ninguna obra que haya ejercido un influjo comparable sobre el pensamiento político democrático al que ha tenido y sigue teniendo el CONTRATO SOCIAL (1762) de Jean-Jacques Rousseau (1712-1778). El propio autor resume así su propósito al escribirla: «Quiero averiguar si puede haber en el poder civil alguna regla de administración legítima y segura tomando a los hombres tal como son y a las leyes tal como pueden ser. Procuraré aliar siempre, en esta indagación, lo que la ley permite con lo que el interés prescribe, a fin de que la justicia y la utilidad no se hallen separadas». El resultado será, en palabras de Fernando de los Ríos (1879-1947), traductor de esta edición, «un libro de valor eterno que al plantearse los problemas de la vida civil lo hace sobre tales bases, que siempre habrán de necesitar ser o confirmadas o contradichas y, en todo caso, nadie podrá dejarlas de tomar como punto de referencia». La concepción russoniana de la democracia y su incorporación al constitucionalismo requiere hoy, sin duda, una lectura crítica; para ella prepara el Prólogo de esta edición Manuel Tuñón de Lara.",https://ww3.lectulandia.co/book/el-contrato-social/,Clásico,2026-09-06 12:16:38
El Grande Oriente,Benito Pérez Galdós,"Clásico, Histórico",Episodios Nacionales - Segunda serie,"El gran friso narrativo de los Episodios Nacionales sirvió de vehículo a Benito Pérez Galdós (1843-1920) para recrear en él la totalidad de la compleja vida de los españoles ­guerras, política, vida cotidiana, reacciones populares­ a lo largo del agitado siglo XIX. EL GRANDE ORIENTE recoge, en su título, el nombre de una activa sociedad secreta que intervino poderosamente en los acontecimientos que agitaron la vida política española en el «trienio constitucional» que fue de 1820 a 1823. En este periodo, dominado por una agitación política y social en la que siguieron encontrando caldo de cultivo los vicios ancestrales de la sociedad española, Salvador Monsalud continúa desgranando su azarosa trayectoria civil y sentimental.",https://ww3.lectulandia.co/book/el-grande-de-oriente/,Clásico,2026-09-06 12:16:40
7 de julio,Benito Pérez Galdós,"Clásico, Histórico",Episodios Nacionales - Segunda serie,"El gran friso narrativo de los Episodios Nacionales sirvió de vehículo a Benito Pérez Galdós (1843-1920) para recrear en él, novelescamente engarzada, la totalidad de la compleja vida de los españoles ­guerras, política, vida cotidiana, reacciones populares­ a lo largo del agitado siglo XIX. El 7 DE JULIO de 1822, fecha del levantamiento de los generales Riego y Ballesteros, quedó como fecha conmemorativa de un triunfo constitucional y popular que no sería tan duradero como pensaron los milicianos nacionales y los oradores de clubs y sociedades que celebraron su victoria sobre la conspiración urdida desde el propio Palacio. Episodio de fuerte intervención ciudadana localizado totalmente en Madrid, reúne las condiciones idóneas para que Pérez Galdós dibujara en él una estampa histórica llena de interés y vida que se entrevera con la peripecia novelesca que protagoniza en esta «Segunda serie» Salvador Monsalud.",https://ww3.lectulandia.co/book/7-de-julio/,Clásico,2026-09-06 12:16:43
Los cien mil hijos de san Luis,Benito Pérez Galdós,"Clásico, Histórico",Episodios Nacionales - Segunda serie,"El gran friso narrativo de los Episodios Nacionales sirvió de vehículo a Benito Pérez Galdós (1843-1920) para recrear en él, novelescamente engarzada, la totalidad de la compleja vida de los españoles ­guerras, política, vida cotidiana, reacciones populares­ a lo largo del agitado siglo XIX. LOS CIEN MIL HIJOS DE SAN LUIS es la expresión irónica y popular con que fue designado el ejército francés que, a las órdenes del duque de Angulema, invadió España en 1823 para imponer nuevamente, tras el llamado «trienio constitucional», el régimen absolutista. Engarzado con la peripecia novelesca, presenciamos el inexorable avance de esta fuerza que acabó con la Constitución gaditana de 1812 en el mismo lugar donde ésta vio la luz.",https://ww3.lectulandia.co/book/los-cien-mil-hijos-de-san-luis/,Clásico,2026-09-06 12:16:45
Preparación del actor,Konstantin Stanislavski,"Clásico, Teatro",N/A,"Temperamento y vocación, cultura y experiencia son algunos de los elementos que, conjugados, permiten al actor «expresarse» esto es, ser el personaje con todas las sutilezas requeridas por el papel representado, pero sin por ello dejar de ser él mismo. Esta extraña paradoja, que ya fue destacada por Diderot en obra memorable, ilustra la dificultad esencial del análisis del problema y por consiguiente los obstáculos que impiden su exposición. Stanislavsky, que por cierto no necesita presentación, ofrece en Preparación del Actor un ejemplo magnífico, singular e insustituible, de un equilibrio admirablemente logrado entre intuición y razonamiento, que es en el fondo la transferencia a otro plano de la oposición entre la naturaleza y arte.",https://ww3.lectulandia.co/book/preparacion-del-actor/,Clásico,2026-09-06 12:16:48
El terror de 1824,Benito Pérez Galdós,"Clásico, Histórico",Episodios Nacionales - Segunda serie,"El gran friso narrativo de los Episodios Nacionales sirvió de vehículo a Benito Pérez Galdós (1843-1920) para recrear en él, novelescamente engarzada, la totalidad de la compleja vida de los españoles –guerras, política, vida cotidiana, reacciones populares– a lo largo del agitado siglo XIX. Secuela del contundente fin que impusieron al «trienio liberal» los «Cien mil hijos de San Luis», objeto del episodio anterior, EL TERROR DE 1824 contribuyó a mantener el régimen fernandino, persiguiendo implacablemente los brotes de pensamiento liberal. Pasada la época de las grandes gestas populares, la acción –nuevamente situada en Madrid como escenario– se dispersa en hechos menores, de un heroísmo distinto: la conspiración y la muerte por un ideal.",https://ww3.lectulandia.co/book/el-terror-de-1824/,Clásico,2026-09-06 12:16:50
Los apostólicos,Benito Pérez Galdós,"Clásico, Histórico",Episodios Nacionales - Segunda serie,"El gran friso narrativo de los Episodios Nacionales sirvió de vehículo a Benito Pérez Galdós (1843-1920) para recrear en él, novelescamente engarzada, la totalidad de la compleja vida de los españoles –guerras, política, vida cotidiana, reacciones populares– a lo largo del agitado siglo XIX. Los apostólicos, nombre que recibían los que andando el tiempo integrarían el bando carlista, recoge como transfondo un momento crítico de la historia española: el de los últimos tiempos del reinado de Fernando VII, casado ya con la napolitana María cristina, y las intrigas en torno a la sucesión del trono.",https://ww3.lectulandia.co/book/los-apostolicos/,Clásico,2026-09-06 12:16:53
Un faccioso más y algunos frailes menos,Benito Pérez Galdós,"Clásico, Histórico",Episodios Nacionales - Segunda serie,"El gran friso narrativo de los Episodios Nacionales sirvió de vehículo a Benito Pérez Galdós (1843-1920) para recrear en él, novelescamente engarzada, la totalidad de la compleja vida de los españoles –guerras, política, vida cotidiana, reacciones populares– a lo largo del agitado siglo XIX. UN FACCIOSO MÁS Y ALGUNOS FRAILES MENOS es un juego de palabras que apunta a dos hechos de diversa magnitud y carácter: el alzamiento carlista y la matanza de frailes de 1834. Sobre tan difícil momento histórico se anuda el hilo novelesco que ha enhebrado los diez Episodios de esta Segunda Serie, con el desenlace de la peripecia novelesca que tiene como polos a Sola y Salvador Monsalud.",https://ww3.lectulandia.co/book/un-faccioso-mas-y-algunos-frailes-menos/,Clásico,2026-09-06 12:16:55
Un voluntario realista,Benito Pérez Galdós,"Clásico, Histórico",Episodios Nacionales - Segunda serie,"El gran friso narrativo de los Episodios Nacionales sirvió de vehículo a Benito Pérez Galdós (1843-1920) para recrear en él, novelescamente engarzada, la totalidad de la compleja vida de los españoles –guerras, política, vida cotidiana, reacciones populares– a lo largo del agitado siglo XIX. UN VOLUNTARIO REALISTA personifica en “Tilín” el solsonés, Pepet Armengol, un movimiento producido en la España fernandina, el levantamiento de los que consideraban a Fernando VII y su régimen como blandos y moderados. Tilín es otro de esos personajes que a Pérez Galdós le gustaba seguir en su paso de niño a hombre, en una existencia trabajosa y difícil: nieto de un sacristán de monjas, recogido por ellas en su orfandad, y al fin voluntario realista en la agitada Cataluña de aquellos días.",https://ww3.lectulandia.co/book/un-voluntario-realista/,Clásico,2026-09-06 12:16:58
Narraciones extraordinarias,Edgar Allan Poe,"Clásico, Terror",N/A,"Las narraciones extraordinarias de Edgar Allan Poe constituyen la parte más conocida de su obra. El cine y la televisión han explotado, no siempre con fortuna, lo que en Poe hay de misterioso y hasta terrorífico, dejando de lado la intensidad, el pulso y ese acento de campana gigantesca que suponen los valores primordiales de una obra concentrada y personalísima, en la cual lo humano se eleva por caminos pavorosos a tensiones muy superiores a su contenido melodramático. Como si la vida, con su fundamento de terrores y sombras, necesitase ser penetrada por su autor, preocupado por alumbrar inéditos caminos con sus descubrimientos.",https://ww3.lectulandia.co/book/narraciones-extraordinarias/,Clásico,2026-09-06 12:17:00
Zumalacárregui,Benito Pérez Galdós,"Clásico, Histórico",Episodios Nacionales - Tercera serie,"El gran friso narrativo de los Episodios Nacionales sirvió de vehículo a Benito Pérez Galdós (1843-1920) para recrear en él, novelescamente engarzada, la totalidad de la compleja vida de los españoles -guerras, política, vida cotidiana, reacciones populares- a lo largo del agitado siglo XIX. La España desgarrada por la Primera Guerra Carlista y la Regencia de María Cristina es la época de los siguientes episodios, cuyo eje es el romántico Fernando Calpena. Escrita entre 1898 y 1900, es decir diecinueve años después de haber concluido la anterior, Galdós retoma la historia de España en el punto en que la había dejado -la muerte de FernandoVII-, para relatar la difícil etapa de la minoría de su hija, la futura Isabel II, no reconocida por los absolutistas que proclaman rey al infante don Carlos, hermano del rey fallecido. Los liberales arropan entonces a la reina viuda, María Cristina, y se inicia la primera guerra carlista. A lo largo de la serie, Galdós seguirá las vicisitudes de los dos bandos, entre el País Vasco, donde reside la corte absolutista, y Madrid, capital del gobierno liberal, con algunas incursiones en Levante y Cataluña. Como en las serie anteriores, Galdós crea en este libro personajes ficticios que participan en los acontecimientos históricos, pero cuya vida trata de reflejar la del español de a pie. Así, el suicidio de Larra, la educación de la futura reina o la concertación de su matrimonio aparecen como acontecimientos que los personajes comentan como parte de su propio transcurrir vital. En este episodio Pérez Galdós se sirve de la figura de ZUMALACÁRREGUI -el gran caudillo popular surgido en los primeros tiempos de la guerra carlista- y de la peripecia novelesca del atormentado capellán José Fago, para -como hiciera con El Empecinado para la Guerra de la Independencia- reflejar un momento histórico que le brinda la ocasión de pintar el mundo de la guerrilla y el de las intrigas cortesanas.",https://ww3.lectulandia.co/book/zumalacarregui/,Clásico,2026-09-06 12:17:03
Vampiros (Ilustrado),"Alexandre Dumas, Arthur Conan Doyle, Charles Baudelaire, E. T. A. Hoffmann, Edgar Allan Poe, Guy de Maupassant, John William Polidori, Joseph Sheridan Le Fanu, Lord Byron, Nikolái Gógol, Théophile Gautier, Varios Autores","Clásico, Terror",N/A,"Antes de ingresar en la mitología popular gracias a Drácula de Bram Stoker, la figura del vampiro había cautivado ya a los más grandes escritores. La presente antología recoge una muestra de las recreaciones más brillantes que hicieron del vampiro autores como Byron, Polidori, Gógol, Maupassant, Edgar Allan Poe o Conan Doyle, originales aproximaciones a un mito en el que se cifran los misterios del sexo, la muerte, la trascendencia y el deseo de inmortalidad. Las bellas e hipnóticas ilustraciones de Meritxell Ribas invitan a esta relectura de la historia del vampiro bajo una luz nueva.",https://ww3.lectulandia.co/book/vampiros-ilustrado/,Clásico,2026-09-06 12:17:06
El cura de Tours,Honoré de Balzac,"Clásico, Relato",N/A,"El abate Birotteau cree vivir en el mejor de los mundos posibles, al menos en la medida de sus modestas pretensiones. Realiza las tareas de su apostolado como algo rutinario y ocupa una espaciosa y bien amueblada habitación en casa de la señora Gamard, donde su existencia es muy cómoda, ya que su anfitriona se ocupa de que no le falte de nada. Su mayor ambición es obtener una canonjía, dejando que transcurra el tiempo para que dicho bien le caiga como fruto maduro.",https://ww3.lectulandia.co/book/el-cura-de-tours/,Clásico,2026-09-06 12:17:08
La Gaviota,Antón Chéjov,"Clásico, Drama, Teatro",N/A,"En La gaviota se juntan la grandeza del drama, con la arrebatadora particularidad de los personajes, especialmente el de Irina Nicolaievna Arkádina, la actriz. Es soberbia, egoísta, actriz dentro y fuera del teatro, dominadora y apasionada de sí misma. Desde que se levanta el telón, el público queda prendido en el vuelo de la hermosa gaviota y meciéndose en el diálogo se deja conducir por un mar fascinante de palabras, que en ocasiones es terrible y muchas veces resulta cómico. Antón Chéjov rompió con esta obra los moldes que habían petrificado al teatro en el siglo XIX y metió la vida y la literatura misma. Es fantástico ver volar a La gaviota en un escenario, pero también es hermoso leer La gaviota muy despacio, saboreando sus palabras, siguiendo la estela de su misterioso vuelo.",https://ww3.lectulandia.co/book/la-gaviota/,Clásico,2026-09-06 12:17:11
Drácula (Ilustrado),Bram Stoker,"Clásico, Fantástico, Terror",N/A,"Drácula, publicada en 1897, sigue siendo hoy día una de las más aclamadas y conocidas novelas de terror. Su autor, el irlandés Bram Stoker, se inspiró en antiguas leyendas para crear el inolvidable personaje del conde Drácula, un despiadado vampiro con gran poder de seducción sobre sus víctimas, en muchas ocasiones mujeres jóvenes y hermosas. El conde y su historia seducen también de forma irremediable a los lectores: el miedo, la sangre, la inmortalidad, la noche, la sensualidad o lo prohibido son ingredientes que no dejan indiferente a nadie.",https://ww3.lectulandia.co/book/dracula-ilustrado/,Clásico,2026-09-06 12:17:13
La pequeña Dorrit,Charles Dickens,Clásico,N/A,"«Obra maestra entre las obras maestras», según George B. Shaw, esta 
novela nos revela no sólo al Dickens más cómico y triste, más exuberante
 y genial, sino a un implacable fustigador de los vicios del 
capitalismo. Coincidiendo con el bicentenario del nacimiento de Charles 
Dickens Alba publica una nueva traducción de La pequeña Dorrit a cargo 
de Carmen Francí e Ismael Attrache y en edición de lujo. Esta es, sin 
lugar a dudas, una de las mejores novelas de Dickens. Un compendio 
monumental de su destreza narrativa, de su ingenio cómico y de su 
talento inigualable para crear ambientes y personajes.",https://ww3.lectulandia.co/book/la-pequena-dorrit/,Clásico,2026-09-06 12:17:16
Nuestro amigo común,Charles Dickens,"Clásico, Intriga",N/A,"Un joven se encamina a Londres para aceptar una herencia paterna que, según estipula el testamento, tan solo podrá disfrutar si se casa con Bella Wilfer, una hermosa muchacha a la que nunca ha conocido. Poco antes, sin embargo, aparece flotando en el Támesis un cadáver que la policía identifica con el joven heredero. Es el principio de una onda que afectará a toda la sociedad londinense. En Nuestro amigo común, Dickens demostró todo el vigor de su prosa y de su imaginación en un deslumbrante ejercicio de virtuosismo literario. «Los comienzos de las novelas de Dickens suelen ser memorables, pero ninguno supera el primer capítulo de Nuestro amigo común, penúltima novela que escribió y última que terminó. Llevados por la barca del pescador de cadáveres, nos parece entrar en el reverso del mundo». (ITALO CALVINO).",https://ww3.lectulandia.co/book/nuestro-amigo-comun/,Clásico,2026-09-06 12:17:18
